job_url,title,company,description,niveau_etudes,niveau_experience,contrat,region,competences,publication_date,via,titre_homogene,secteur,niveau_qualification
,Capacity Building Manager | Laayoune (Maroc),,"About ASARI The African Sustainable Agriculture Research Institute (ASARI) launched by UM6P in Laayoune in 2020 within the Foum Eloued technopole project focuses on several research and development programs including biosaline agriculture, native species...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,· working knowledge of statistics and database management,2025-03-04,['Rekrute'],Capacity Building Manager,Data,3
,Program Assistant | Laayoune (Maroc),,"About ASARI The African Sustainable Agriculture Research Institute (ASARI) launched by UM6P in Laayoune in 2020 within the Foum Eloued technopole project focuses on several research and development programs including biosaline agriculture, native species...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,"· working knowledge of pmp, statistics and database management",2025-03-04,['Rekrute'],Program Assistant,Data,2
,Chemometrician /DATA Scientist - Spectral DATA Analysis | Benguerir (Maroc),,"About the Role: We are seeking a skilled and motivated Chemometrician  or Data Scientist to join our team and work on projects involving spectral data analysis. The ideal candidate will have expertise in chemometrics, vibrational spectroscopy,...",Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,"education: engineer or master’s degree in data science, chemistry, chemometrics",2025-03-04,['Rekrute'],Data Scientist,Enseignement / Formation,2
,Research Engineer - Organic Chemistry/Molecular Chemistry | Benguerir (Maroc),,About the Role:We are seeking a highly motivated and skilled professional with expertise in organic chemistry or molecular chemistry to join our team. The role involves studying the effects of organic chemical composition on the stability of spectral data...,Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,technical expertise: strong knowledge of chemical interactions and their effects on spectral data.,2025-03-04,['Rekrute'],Research Engineer,Non-DATA,0
,Admissions and Outreach Assistant | Rabat (Maroc),,Position Summary The Admissions and Outreach Assistant plays a critical role in attracting and enrolling talented students in the Bachelor of Science in Applied Mathematics & Business and the graduate program in Mathematics & Decision. This individual...,Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,skills? strong interpersonal and communication skills (written and oral).? ability to work collaboratively with diverse teams and stakeholders.? proficiency in crm tools and admissions management systems.? familiarity with digital marketing and social media strategies.? analytical mindset with the ability to interpret data and trends.? high organizational skills and attention to detail.,2025-03-04,['Rekrute'],,Enseignement / Formation,
,Ingénieur Big DATA - DATAOPs - UM6P Hospitals | Benguerir (Maroc),,"Poste?:   L’ingénieur Big Data sera chargé de travailler sur le projet de Plateforme Data / IA, qui vise à déployer une plateforme unifiée capable de gérer et d'analyser de grands volumes de données, et plus précisément de traiter les opérations de collecte,...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,niveau d’expérience : une expérience significative de 3 années minimum en architecture data et big data,2025-03-04,['Rekrute'],Data Engineer,Pharmacie / Santé,3
,Accountant - General Accounts (CDD Contract) | Casablanca (Maroc),,"Job Purpose:   To analyze, process and maintain Company’s financial transactions and records ensuring compliance with approved accounting standards and procedures. Assists in preparing budgets, financial reports and financial analysis, and...",Bac +3,De 1 à 3 ans,CDD - Télétravail : Non,,"excellent financial, analytical and reporting skills and capable of meeting deadlines without compromising quality of outcome and proven skills in analyzing data, identifying irregularities and recommending corrective measures.",2025-03-04,['Rekrute'],,Banque / Finance,
,Finance Planning & Analysis | Casablanca (Maroc),,"Directly related to the FP&A Morocco Manager, the FP&A participates in the reporting and analysis of the financial data of Foundever Morocco, intervening in the following topics: • Prepare, review and distribute monthly financial reports and...",Bac +5 et plus,De 1 à 3 ans,CDI - Télétravail : Non,,• master’s degree in finance or equivalent / business management • minimum 2 years’ experience in a similar role experience • demonstrated analytical and financial modeling skills with ability to prepare materials and presentations that communicate meaningful data and analyses. • ability to prioritize workload and build an organization operational oriented: site fp&a should be a business partner for operational • bilingual (french-english),2025-03-03,['Rekrute'],,Banque / Finance - Offshoring / Nearshoring,
,DATA Analyst | Rabat (Maroc),,Nous recrutons actuellement un Business Data Analyst pour rejoindre notre équipe dans notre nouveau centre situé à Rabat. Finalité du Poste : L'Analyste de Données Commerciales est responsable de l'analyse...,Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Hybride,,"bac+5 en data analysis, business intelligence, statistique ou dans un domaine connexe.",2025-03-03,['Rekrute'],Data Analyst,Data,4
,Stagiaire PFE DATA Analyst (Convention obligatoire) | Casablanca (Maroc),,"En tant que stagiaire Data Analyst, vos principales missions sont : • Rassembler des données provenant de différentes sources (bases de données, CRM, ERP, fichiers Excel, etc.). • Analyser les données pour identifier...",Bac +5 et plus,Moins de 1 an,Stage - Télétravail : Non,,- master en data.,2025-02-28,['Rekrute'],Data Analyst,Data,5
,BI Engineer | Rabat (Maroc),,"JOB PURPOSE: As a BI Engineer, you will join the Reporting Factory Team. The role of the BA Engineer is to design, develop, and maintain strong BI solutions that empower AXA GBS Morocco and the broader global organization in making data-driven...",Bac +4,De 1 à 3 ans,CDI - Télétravail : Hybride,,good knowledge of microsoft power platform and connectors to external data sources,2025-02-28,['Rekrute'],Data Engineer,Data,3
,Senior Internal Auditor | Casablanca - Jorf Lasfar (Maroc),,Job Responsibilities Planning and Executing Audits Develop detailed audit plans and schedules. Conduct audits in accordance with the audit plan and internal audit standards. Evaluating Internal Controls Assess the effectiveness and...,Bac +5 et plus,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Non,,risk assessment ability; audit report writing; data analysis skills; internal control design,2025-02-27,['Rekrute'],,Automobile / Motos / Cycles - Chimie / Parachimie / Peintures,
,Generative AI Testing Specialist | Rabat (Maroc),,"As a Gen AI Testing Specialist, You will guide teams on best practices for AI-powered testing, develop and implement advanced testing solutions, and drive continuous improvement in our testing capabilities. Your responsabilities include : Develop and...",Bac +5 et plus,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Hybride,,"experience with databases (e.g., mysql, oracle, postgresql).",2025-02-25,['Rekrute'],Data Engineer,Data,3
,HR OPS & PAYROLL Officer – France | Rabat (Maroc),,"BUSINESS UNIT STATEMENT: The HR Operations & payroll Specialist will be in charge within the team of multiple cross-functional activities, he will be versatile in the execution of the tasks to ensure the back-up and the adoption of the rotation with...",Bac +4,De 1 à 3 ans - De 3 à 5 ans,CDI - Télétravail : Hybride,,"proficient in excel (advanced level, including formulas, pivot tables, and data analysis)",2025-02-23,['Rekrute'],,Offshoring / Nearshoring - Autres Industries,
,DATA Engineer | Rabat (Maroc),,Le consultant sera en charge de: Conception et déploiement de systèmes d'IA Modélisation avancée pour résoudre des problèmes complexes Réalisation des recettes des évolutions des...,Bac +5 et plus,Moins de 1 an,CDI - Télétravail : Hybride,,"proficiency in data analysis tools (e.g., excel, sql, power bi).",2025-02-21,['Rekrute'],Data Engineer,Automobile / Motos / Cycles,3
,DATA Miner & gestionnaire de flux expérimenté (e) | Casablanca (Maroc),,"As a Gen AI Testing Specialist, You will guide teams on best practices for AI-powered testing, develop and implement advanced testing solutions, and drive continuous improvement in our testing capabilities. Your responsabilities include : Develop and...",Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Hybride,,"experience with databases (e.g., mysql, oracle, postgresql).",2025-02-21,['Rekrute'],Data Miner,Data,3
,DATA Miner & gestionnaire de flux expérimenté (e) | Casablanca (Maroc),,"Rattaché(e) au Responsable d’activité, vos principales missions seront : 1- Suivi, exploitation et analyse DATA : Piloter les courbes d’activités en temps réel selon les indicateurs de production...",Bac +3,De 3 à 5 ans,CDI - Télétravail : Non,,"niveau d'étude : bac+3 ou plus en big data, statistiques ou informatique",2025-02-20,['Rekrute'],,Centre d'appel - Informatique,
,Industrial DATA Analyst (SAP & Power BI) | Tanger (Maroc),,"• Extract, manage, and analyze data from SAP systems to track production metrics and scrap rates. • Develop and maintain Power BI dashboards for real-time visualization of key performance indicators (KPIs). • Identify trends, inefficiencies,...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,"• bachelor’s degree in engineering, data science, industrial management, or a related field. • 3+ years of experience in data analysis within an industrial or manufacturing environment. • proficiency in sap (pp, mm, or related modules) for data extraction and reporting. • advanced skills in power bi (dax, power query, dashboard development). • strong analytical and problem-solving abilities. • ability to work independently and communicate findings effectively to senior management. • experience in process optimization and continuous improvement methodologies is a plus.",2025-02-20,['Rekrute'],Data Analyst,Manufacturing,2
,Submit Your Spontaneous Application and Join Stellantis ! | Casablanca (Maroc),,"We are seeking passionate professionals in the automotive industry with strong expertise in engineering and software development to support the continuous growth and innovation of our company. As we navigate an era of rapid technological advancements, we...",Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Non,,"• project management • validation, integration and testing • calibration • design and simulation • vehicle architecture / safety • data, bi, ai, cybersecurity • manufacturing • supply chain",2025-02-19,['Rekrute'],,Automobile / Motos / Cycles,
,DATA Performance Analyst (H/F) | Rabat (Maroc),,"Rattaché à la Direction Courses & Utilisations du Cheval, votre principale mission sera de participer à l'optimisation de la performance des métiers via l'analyse et l'exploitation des données de la...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,,2025-02-17,['Rekrute'],Data Analyst,Data,2
,Senior Software Engineer .Net | Casablanca (Maroc),,"• Design, develop, and maintain scalable microservices using .NET, NodeJS, or Python ; • Collaborate with cross-functional teams to define, design, and ship new features ; • Ensure the performance, quality, and responsiveness of applications...",Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Hybride,,"• bachelor’s or master’s degree in computer science, engineering, or a related field ; • 5+ years of experience in software development with a focus on microservices architecture ; • proficiency in .net, nodejs, or python ; • strong experience with cloud services, particularly azure or aws ; • solid understanding of devops practices and tools (e.g., docker, kubernetes, jenkins, git) ; • experience with restful apis and web services ; • familiarity with database technologies such as sql, nosql, and orm frameworks ; • excellent problem-solving skills and attention to detail ; • strong communication and collaboration skills.",2025-02-14,['Rekrute'],,Informatique,
,Concepteur Développeur Digdash (H/F) | Rabat (Maroc),,"BUSINESS UNIT STATEMENT: The Human Resources department will serve a diverse population around 2800 employees (10 countries in Europe, Asia, US and Morocco) and 10 professional families and expertise. Group OperationsTransformation has been set up in 2017...",Bac +4,De 1 à 3 ans - De 3 à 5 ans,CDI - Télétravail : Hybride,,"familiarity with social media, resume databases and professional networks",2025-02-14,['Rekrute'],Data Engineer,Data,4
,Concepteur Développeur Digdash (H/F) | Rabat (Maroc),,"En tant que Consultant DigDash, vous accompagnez nos clients dans l’implémentation et l’optimisation de leurs solutions de Business Intelligence (BI) avec la plateforme DigDash Enterprise. Vous intervenez sur l’ensemble du cycle...",Bac +4,De 1 à 3 ans - De 3 à 5 ans,CDI - Télétravail : Hybride,,"• diplôme bac+4/5 en informatique, data science, ou bi • expérience de 2 à 5 ans en business intelligence • expérience dans l’intégration de solutions bi, idéalement digdash",2025-02-12,['Rekrute'],,Informatique - Internet / Multimédia,
,Technical Field Support | Casablanca (Maroc),,"1. Keep high technical knowledge of ZF products for CV service network 2. Providing technical support of ZF products for the CV service network and end users. Technical support can be remote and onsite, as required to resolve customer’s technical...",Bac +3,De 3 à 5 ans,CDI - Télétravail : Non,,"• minimum 3 years experience in automotive sales & service business • people & customer management experience with strong moderation skills • effective communication, influencing & collaboration skills among various audiences • good knowledge of zf products, footprint, structures and processes • strategic thinking, strong analytical skills, data driven & capability to manage complexity • good understanding of network management • ability to work effectively under minimum supervision • team player • willingness to go beyond working hours whenever necessary • good commercial understanding • good presentation skills • high motivated/ dedicated • systematic and pragmatic approach in his day-to-day work • flexible personality • valid driver’s license • relevant engineering diploma/degree • pc skills (microsoft office + powerpoint) • fluency in english, french; knowledge of arabic is a plus.",2025-02-10,['Rekrute'],Technical Field Support,Non-DATA,0
,Order entry & customer service *english* / casablanca,Confidentiel,Order entry & customer service *english* / casablanca,Bac plus 3,,CDI,Casablanca,,2025-04-10,['MarrocAnnonces'],Order entry & customer service,Non-DATA,0
,Ingénieur data scientist junior / casablanca,,Désolé,,,,Casablanca,,,['MarrocAnnonces'],Data Scientist,Data,3
,Contrôleur de caisse ( Homme ) - AGADIR,DAMA,"Contrôleur de caisse ( Homme ) - AGADIR Maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité Mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne Contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts Sensibiliser les opérationnels sur les anomalies détectées lors des contrôles Consolider la base des incidents Contribuer à la rédaction des rapports à destination des instances externes de contrôle Contrôler la conformité des justificatifs de paiement par rapport aux procédures Analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux Analyse et traitement quotidien des alertes de filtrage des Personnes Politiquement Exposées (PPE) et les personnes listées (Sanctions internationales) Extraction, analyse et traitement quotidien des alertes LAB-FT générées par l’outil de profilage et de surveillance des opérations SIRON AML, les requêtes préconfigurées DATA WAREHOUSE Remonter à la direction les informations du secteur Faire évoluer l’organisation et les procédures.",Bac plus 3,,Interim,Agadir,"Bac+3 ou plus en Finance ou Audit et Contrôle, Une première expérience dans une agence de transfert d'argent., Autonomie, Rigueur, Esprit de synthèse, Réactivité et respect des délais, Maîtrise des méthodes et outils du contrôle interne, Bonnes connaissances de la réglementation bancaire et des techniques du contrôle.",2025-03-25,['MarrocAnnonces'],,,
,CONTROLEUR PERMANANT - MARRAKECH,Dama,"CONTROLEUR PERMANANT - MARRAKECH Maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité Mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne Contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts Sensibiliser les opérationnels sur les anomalies détectées lors des contrôles Consolider la base des incidents Contribuer à la rédaction des rapports à destination des instances externes de contrôle Contrôler la conformité des justificatifs de paiement par rapport aux procédures Analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux Analyse et traitement quotidien des alertes de filtrage des Personnes Politiquement Exposées (PPE) et les personnes listées (Sanctions internationales) Extraction, analyse et traitement quotidien des alertes LAB-FT générées par l’outil de profilage et de surveillance des opérations SIRON AML, les requêtes préconfigurées DATA WAREHOUSE Remonter à la direction les informations du secteur Faire évoluer l’organisation et les procédures.",Bac plus 3,,Interim,Marrakech,"Bac+3 ou plus en Finance ou Audit et Contrôle, Une première expérience dans le poste serait appréciée., Autonomie, Rigueur, Esprit de synthèse, Réactivité et respect des délais, Maîtrise des méthodes et outils du contrôle interne., Bonnes connaissances de la réglementation bancaire et des techniques du contrôle.",2025-03-15,['MarrocAnnonces'],Contrôleur,Finance,3
,"TETOUAN, Factory Planner Intern (for Graduates)",JTI,"TETOUAN, Factory Planner Intern (for Graduates)",Bac plus 3,,Stage,Tetouan,,2025-03-04,['MarrocAnnonces'],,,
,Data analyst,JTI,Data analyst - Tetouan,Bac plus 3,,CDI,Tetouan,,2025-02-28,['MarrocAnnonces'],Data Analyst,Data,2
,IOT Data Engineer / Developper,Manpower,IOT Data Engineer / Developper - Kénitra,Bac plus 3,,CDI,Kénitra,,2025-02-25,['MarrocAnnonces'],Data Engineer,Data,3
,Analyste Business Data,,Désolé,,,,Casablanca,,,['MarrocAnnonces'],Business Analyst,Data,3
,Développeur PHP/Laravel (H/F),DEKRA Services,Développeur PHP/Laravel (H/F) - Casablanca,Bac plus 4,,CDI,Casablanca,,2025-01-21,['MarrocAnnonces'],,,
,Data Steward (H/F),DEKRA Services,Test Lead QA – Développeur (H/F) - Casablanca,Bac plus 4,,CDI,Casablanca,,2025-01-21,['MarrocAnnonces'],Data Steward,Data,3
,Data Steward (H/F),DEKRA Services,Data Steward (H/F) - Casablanca,Bac plus 3,,CDI,Casablanca,,2025-01-20,['MarrocAnnonces'],,,
,Product Data Management Junior - JORF LASFAR,DAMA,Product Data Management Junior - JORF LASFAR - El jadida,Bac plus 2,,Interim,El jadida,,2025-01-19,['MarrocAnnonces'],Data Management,Data,1
,Technicien Frigoriste (H/F),,Technicien Frigoriste (H/F) - Benguerir,,,,Benguerir,,2025-01-10,['MarrocAnnonces'],,,
,Analyste de données _anglophone,Avanta maroc,Technicien/Superviseur GTB en intérim à Bouskoura - Casablanca,Bac plus 2,,Interim,Casablanca,,2025-01-08,['MarrocAnnonces'],Data Analyst,Data,2
,Analyste de données _anglophone,Avanta Services,Analyste de données _anglophone - Tanger,Bac plus 5,,CDI,Tanger,,2025-12-31,['MarrocAnnonces'],,,
,Ingénieur Data Analyst,confidentiel,Ingénieur Data Analyst - Casablanca,Bac plus 5,,CDI,Casablanca,,2025-12-08,['MarrocAnnonces'],Data Analyst,Data,3
,Ingénieur Business Intelligence (BI),confidentiel,Ingénieur Business Intelligence (BI) - RABAT,Bac plus 5,,CDI,Rabat,,2025-12-05,['MarrocAnnonces'],Business Analyst,Data,3
,CONTROLEUR DE CAISSE - KHOURIBGA,DAMA,"CONTROLEUR DE CAISSE - KHOURIBGA Maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité Mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne Contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts Sensibiliser les opérationnels sur les anomalies détectées lors des contrôles Consolider la base des incidents Contribuer à la rédaction des rapports à destination des instances externes de contrôle Contrôler la conformité des justificatifs de paiement par rapport aux procédures Analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux Analyse et traitement quotidien des alertes de filtrage des Personnes Politiquement Exposées (PPE) et les personnes listées (Sanctions internationales) Extraction, analyse et traitement quotidien des alertes LAB-FT générées par l’outil de profilage et de surveillance des opérations SIRON AML, les requêtes préconfigurées DATA WAREHOUSE Remonter à la direction les informations du secteur Faire évoluer l’organisation et les procédures.",Bac plus 3,,Interim,Khouribga,"Bac+3 ou plus en Finance ou Audit et Contrôle, Une première expérience dans une agence de transfert d'argent., Autonomie, Rigueur, Esprit de synthèse, Réactivité et respect des délais, Maîtrise des méthodes et outils du contrôle interne, Bonnes connaissances de la réglementation bancaire et des techniques du contrôle.",2025-11-21,['MarrocAnnonces'],Contrôleur de caisse,Finance,3
,Technicien frigoriste en contrat d'intérim,Avanta Maroc,Technicien frigoriste en contrat d'intérim - Rabat,Bac plus 2,,Interim,Rabat,,2025-11-19,['MarrocAnnonces'],,,
,CONTROLEUR PERMANENT - CASABLANCA,,Transaction Banker Trade & Cash - Casablanca,Bac plus 3,,Interim,Casablanca,,2025-11-14,['MarrocAnnonces'],Contrôleur,Finance,3
,CONTROLEUR PERMANENT - CASABLANCA,DAMA,"CONTROLEUR PERMANENT - CASABLANCA Maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité Mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne Contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts Sensibiliser les opérationnels sur les anomalies détectées lors des contrôles Consolider la base des incidents Contribuer à la rédaction des rapports à destination des instances externes de contrôle Contrôler la conformité des justificatifs de paiement par rapport aux procédures Analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux Analyse et traitement quotidien des alertes de filtrage des Personnes Politiquement Exposées (PPE) et les personnes listées (Sanctions internationales) Extraction, analyse et traitement quotidien des alertes LAB-FT générées par l’outil de profilage et de surveillance des opérations SIRON AML, les requêtes préconfigurées DATA WAREHOUSE Remonter à la direction les informations du secteur Faire évoluer l’organisation et les procédures.",Bac plus 3,,Interim,Casablanca,"Bac+3 ou plus en Finance ou Audit et Contrôle, Une première expérience dans le poste serait appréciée., Autonomie, Rigueur, Esprit de synthèse, Réactivité et respect des délais, Maîtrise des méthodes et outils du contrôle interne, Bonnes connaissances de la réglementation bancaire et des techniques du contrôle.",2025-11-08,['MarrocAnnonces'],,,
,Analyste des données logistique - Tanger,DAMA,"CONTROLEUR DE CAISSE - ZONE NORD TANGER / TETOUAN Maintenir à jour le système de contrôle interne de l'entreprise et renforcer son efficacité Mettre en place des outils et indicateurs de suivi d'efficacité du dispositif de contrôle interne Contrôler les résultats du secteur de la caisse, détecter les anomalies et les écarts Sensibiliser les opérationnels sur les anomalies détectées lors des contrôles Consolider la base des incidents Contribuer à la rédaction des rapports à destination des instances externes de contrôle Contrôler la conformité des justificatifs de paiement par rapport aux procédures Analyse et traitement quotidien des alertes de filtrage des opérations à l’international tout en veillant au respect des embargos commerciaux et financiers internationaux Analyse et traitement quotidien des alertes de filtrage des Personnes Politiquement Exposées (PPE) et les personnes listées (Sanctions internationales) Extraction, analyse et traitement quotidien des alertes LAB-FT générées par l’outil de profilage et de surveillance des opérations SIRON AML, les requêtes préconfigurées DATA WAREHOUSE Remonter à la direction les informations du secteur Faire évoluer l’organisation et les procédures.",Bac plus 3,,Interim,Tanger,"Bac+3 ou plus en Finance ou Audit et Contrôle, Une première expérience dans une agence de transfert d'argent., Autonomie, Rigueur, Esprit de synthèse, Réactivité et respect des délais, Maîtrise des méthodes et outils du contrôle interne, Bonnes connaissances de la réglementation bancaire et des techniques du contrôle.",2025-11-05,['MarrocAnnonces'],Data Analyst,Logistique,3
,Analyste des données logistique - Tanger,AVANTA MAROC,Analyste des données logistique - Tanger,Bac plus 5,,CDI,Tanger,,2025-10-31,['MarrocAnnonces'],,,
,Senior Data Engineers H/F - Casablanca / Rabat,VISION BUSINESS CONSULTING,Nous recherchons un Développeur Senior React/Next.js pour rejoindre un projet Modeling/Digital qui démarre ASAP .,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,Casablanca-Mohammedia,MYSQL - POSTGRESQL - REACT,2025-02-25,['Emplois.ma'],Data Engineer,Data,4
,Senior Data Engineers H/F - Casablanca / Rabat,AFRICAWORK MAROC,"Nous recrutons pour notre client des Ingénieurs de Données Seniors capable de diriger une équipe et de contribuer activement à la conception et à l'implémentation de solutions techniques dans un environnement data-driven. Responsabilités : Diriger une équipe de développeurs dans la mise en œuvre de solutions techniques. Fournir et exécuter des conceptions techniques pour les composants de la plateforme de données. Établir des normes, des modèles et des pratiques exemplaires pour les équipes. Superviser et diriger la livraison de fonctionnalités ou d'épopées complètes. Encadrer et accompagner les membres plus juniors de l'équipe. Communiquer efficacement avec les parties prenantes externes et internes....",Bac+5 et plus,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDI,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,APP - AZURE - C# - DOCKER - ETL - MICROSOFT - PYTHON - SQL - VAULT,2025-03-21,['Emplois.ma'],,,
,Consultant Freelance - Data Engineer - Casablanca,AFRICAWORK,"Nous recrutons pour notre client, opérant dans le secteur bancaire , un Expert SOC (Security Operations Center) H/F basé à Casablanca. L'Expert SOC sera responsable de la surveillance, de la détection et de la gestion des incidents de sécurité au sein du SOC. Il analysera les menaces et incidents, coordonnera les réponses aux incidents de sécurité et assurera la protection des systèmes d'information de la banque. Missions : Surveillance de la sécurité : Assurer la surveillance en temps réel des événements de sécurité et analyser les alertes générées par les outils de détection (SIEM, IDS/IPS, etc.). Analyse des incidents : Identifier, analyser et répondre aux incidents de sécurité en collaboration avec les...",Bac+5 et plus,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDI,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,IDS,2025-03-26,['Emplois.ma'],Data Engineer,Data,3
,Consultant Freelance - Data Engineer - Casablanca,VISION BUSINESS CONSULTING,"Nous recherchons un Data Engineer expérimenté en freelance pour intégrer et optimiser l'infrastructure de données de notre client final dans le cadre d'un vaste programme de transformation Data. Le consultant travaillera en étroite collaboration avec nos équipes IT et data pour concevoir et mettre en œuvre des solutions efficaces sur Azure Cloud, en soutenant notamment l'amélioration de nos capacités en Business Intelligence. Responsabilités : Concevoir et construire des pipelines de données robustes sur Microsoft Azure. Intégrer, consolider et nettoyer des données provenant de diverses sources. Assurer la performance et la sécurité des bases de données Azure. Collaborer avec les data scientists et BI...",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,Casablanca-Mohammedia,AZURE - BI - JAVA - MICROSOFT - PYTHON - SCALA - SQL,2025-03-12,['Emplois.ma'],,,
,Consultant Freelance - Data Scientist - Casablanca,VISION BUSINESS CONSULTING,"Nous recherchons un Data Scientist freelance pour développer des modèles prédictifs et prescriptifs qui amélioreront la prise de décisions stratégiques de notre client. Le rôle implique une forte interaction avec les données industrielles et leur interprétation à travers des outils de Business Intelligence tels que Power BI, le tout dans un environnement Azure Cloud. Responsabilités : Concevoir et implémenter des modèles statistiques et d'apprentissage machine. Analyser de grands volumes de données industrielles pour en extraire des insights pertinents. Travailler en collaboration avec les équipes de data engineers pour préparer les données pour l'analyse. Présenter des résultats complexes à des non-...",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,Casablanca-Mohammedia,AZURE - BI - PYTHON - SQL,2025-03-12,['Emplois.ma'],Data Scientist,Data,4
,Analyste Big Data - Casablanca,CALLIOPE,"Nous recherchons un(e) Analyste Big Data  passionné(e) par l’analyse de données massives pour rejoindre notre équipe. En tant qu'analyste, vous serez en charge de l’analyse et de la gestion de nos stocks tout en utilisant des outils et des méthodes de Big Data pour optimiser les processus logistiques. Vos missions : Analyser les stocks en suivant, évaluant et prévoyant l’évolution des stocks en temps réel à l’aide d’outils d’analyse et de gestion. Optimiser la gestion des stocks en proposant des solutions d'optimisation des niveaux de stock en fonction des données analysées. Exploiter les technologies de Big Data pour effectuer des analyses avancées des stocks,...",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,Casablanca-Mohammedia,BIG DATA - Gestion des Stocks - Stocks - Transport,2025-03-06,['Emplois.ma'],,,
,Analyste en Gestion des Stocks et Big Data - Casablanca,VISION BUSINESS CONSULTING,Nous recrutons 2 Développeurs Senior Java pour travailler sur le stream Digital Twin d’un projet Modeling/Digital en démarrage ASAP .,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,Casablanca-Mohammedia,JAVA - UNITY,2025-02-25,['Emplois.ma'],Data Analyst,Data,3
,Analyste en Gestion des Stocks et Big Data - Casablanca,CALLIOPE,"Nous recherchons un(e) Analyste de stock passionné(e) par l’analyse de données massives pour rejoindre notre équipe. En tant qu'analyste, vous serez en charge de l’analyse et de la gestion de nos stocks tout en utilisant des outils et des méthodes de Big Data pour optimiser les processus logistiques. Vos missions : Analyser les stocks en suivant, évaluant et prévoyant l’évolution des stocks en temps réel à l’aide d’outils d’analyse et de gestion. Optimiser la gestion des stocks en proposant des solutions d'optimisation des niveaux de stock en fonction des données analysées. Exploiter les technologies de Big Data pour effectuer des analyses avancées des stocks, identifier et...",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,Casablanca-Mohammedia,BIG DATA - Gestion des Stocks - Stocks - Transport,2025-03-04,['Emplois.ma'],,,
,Développeur Senior DevOps / Architecte Technique (Secteur Bancaire) - Casablanca,VISION BUSINESS CONSULTING,"Nous recherchons pour un client en secteur bancaire un Développeur Senior DevOps / Architecte Technique  pour concevoir et optimiser une chaîne DevOps dans un environnement complexe impliquant plusieurs équipes. Missions principales : Élaboration du design technique des solutions. Conception et optimisation d’une chaîne DevOps adaptée à un environnement multi-équipes. Expertise en Java, J2EE, React, Spring/SpringBoot, SQL, MySQL, Mongo, API, Microservices, BPMN (idéalement Camunda), Kafka, Keycloak . Gestion des workflows de développement et du versionning via GitLab . Développement avec CI/CD pipelines . Encadrement et coordination des équipes techniques.",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Freelance,Casablanca-Mohammedia,API - GITLAB - J2EE - JAVA - MYSQL - REACT - SPRING - SQL,2025-03-13,['Emplois.ma'],DevOps,Banque,4
