job_url,title,company,description,niveau_etudes,niveau_experience,contrat,region,competences,publication_date,via,titre_homogene,secteur,niveau_qualification
,Consultant BI / Big DATA | Rabat (Maroc),,"DXC IT Services recrute pour son compte un référent BI / Big Data avec comme missions : • Support de niveau 3 des applications (fonctionnel / technique) • Administrer, faire évoluer, consolider les outils de reporting et...",Bac +4,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Hybride,,"titulaire d'un bac+5 en informatique, vous disposez de plus de 5 ans d'expérience en support technico-fonctionnel, spécifiquement dans le domaine des solutions bi / big data.",2025-03-25,['Rekrute'],Data Consultant,Data,5
,"Consultant DATA (Semarchy,Snowflake,Informatica) | Rabat (Maroc)",,"Intégration, développement, support et maintenance des systèmes de Reporting décisionnels et opérationnels (Conception, Gestion, Optimisation et traitement de données) Rédaction des...",Bac +4,De 1 à 3 ans - De 3 à 5 ans,CDI - Télétravail : Hybride,,,2025-03-25,['Rekrute'],Data Consultant,Data,5
,Mobile App and DATA Platform Developer | Benguerir (Maroc),,Vos missions principales en tant qu’architecte Solution seront : *  Exercer un regard critique face aux enjeux *  Analyser et Réaliser un diagnostic de la situation rencontrée et le...,Bac +5 et plus,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Hybride,,"compétences techniques *  bonne connaissance des activités et des technologies de modernisation des architectures et des solutions logicielles *  connaissance et pratique de l’architecture logicielle -  structuration et découpage des applications en composants *  bonne connaissance des solutions technologiques clefs d’une architecture moderne et des modes d’intégration : -  esb, mdm, bpmn, api, micro services… *  maitrise des couches services (data et échanges inter applicatif) -  bases de données (sql/ nosql…), bus d’évènements… *  connaissance des patterns architecturaux -  lamp lamj, container et des principales logiques d’offres virtualisées : iaas, paas *  maitrise des chaines d'intégration et de déploiement des applications -  outillage (git, maven, jenkins,…) -  environnement d'hébergement dont ci/cd *  connaissance des principes d’exploitation, des contraintes sécurités, de la gestion de flux réseaux et des systèmes de monitoring *  maitrise des systèmes de gestion des flux fw lb y compris virtualisés compétences opérationnelles *  adaptabilité et curiosité technique pour une optimisation du changement *  aptitude à développer ses connaissances *  polyvalence et goût pour la technique et créativité pour identifier les solutions techniques appropriées *  être force de proposition et d'innovation à travers le partage, la veille et le conseil permanents *  savoir communiquer et rassurer les clients en contexte de crise opérationnelle *  esprit d’analyse et de synthèse qualités   * bon sens relationnel et bon sens du service   * autonome, réactif   * rigueur et esprit critique   * capacité à travailler en équipe pluridisciplinaire   * maitrise de l’anglais indispensable",2025-03-25,['Rekrute'],Data Platform Developer,Data,3
,Mobile App and DATA Platform Developer | Benguerir (Maroc),,"About UM6P: Located at the heart of the future Green City of Benguerir, Mohammed VI Polytechnic University (UM6P), a higher education institution with an international standard, is established to serve Morocco and the African continent. Its vision is honed...",Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,"capable of using at least two of the following software to analyse data such as spss, excel, r, python and matlab.",2025-03-24,['Rekrute'],,Enseignement / Formation,
,Stage PFE DATA Analyst | Casablanca (Maroc),,Formation approfondie sur l’analyse et la visualisation de données. - Travailler sur des projets stratégiques qui influencent la prise de décision au sein de l’entreprise. - Accès à des outils professionnels...,Bac +5 et plus,Débutant,Stage - Télétravail : Non,,"- étudiant(e) en data science, statistiques, informatique, ou domaine similaire (bac+3 ou bac+5). - compétences avancées en excel, sql, et outils de visualisation de données comme power bi ou tableau. - connaissance de python pour l’analyse de données est un plus. - forte capacité d’analyse et de synthèse des données complexes. - esprit curieux, rigoureux, et bonnes compétences en communication pour présenter les résultats de manière claire et concise",2025-03-24,['Rekrute'],Data Analyst,Data,3
,Warehouse Stock keeper | El Jadida (Maroc),,"Assist the supervisor in the management of the delivery and receipt of main and auxiliary materials, finished products, hardware, labor protection, and analytical supplies. Develop monthly and weekly work plans based on department and team work plans,...",Bac,De 3 à 5 ans,Autre - Télétravail : Non,,familiarity with inventory management software and data entry.,2025-03-24,['Rekrute'],,BTP / Génie Civil - Import / Export / Négoce,
,DATA Analyst - Contrôle de Gestion H/F | Rabat (Maroc),,"Rattaché(e) à la Direction de Pilotage de la Performance, vous aurez pour mission l'analyse et l'interprétation des données financières et opérationnelles pour soutenir les processus de prise de...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,,2025-03-20,['Rekrute'],Data Analyst,Finance,2
,Directeur Achats & Supply Chain (H/F) | Casablanca (Maroc),,"En tant que pilier stratégique de l’organisation, vous avez pour mission de structurer, transformer et positionner la fonction Achats & Supply Chain comme un centre de profits. Avec plus de 300 millions d’achats par an, vous piloterez...",Bac +5 et plus,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Non,,"capacité à anticiper et gérer les risques supply chain, avec une approche data-driven et décisionnelle.",2025-03-19,['Rekrute'],,Autres Industries,
,Pentester (H/ F) | Rabat (Maroc),,"The Penetration Testing Service is responsible for: • Executing web application penetration tests to identify vulnerabilities such as input validation issues, authentication flaws, and access control issues. • Assessing web applications against...",Bac +5 et plus,De 1 à 3 ans,CDI - Télétravail : Hybride,,"• bachelor’s or master’s degree in computer science, information technology, or a related field. • expertise with security assessment methodologies such as risk assessment, vulnerability assessment, and threat modeling. • at least 1-3 years of expertise in penetration testing and vulnerability assessments. • relevant certifications related to penetration testing. • it security expertise. • ability to gather and analyze data and translate it into actionable insights. • ability to work well in a team and cross-functional environment. • ability to work with diverse cultures and environments. languages environment • english environment – mandatory. • french environment – optional.",2025-03-19,['Rekrute'],,Informatique - Internet / Multimédia,
,Tech Lead – Cloud (H/ F) | Rabat (Maroc),,"In this role you will: • Gateway between QA and CC team (Both CSP), keep the same approach for QA Azure and QA AWS on the tool, type of tests, name etc. • Review requirements, specifications, and technical design documentation in order to...",Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Hybride,,"good knowledge and hands-on experiences in the cloud, ideally for both provider aws and azure for infrastructure resources such as servers, storage, network, database, cloud security, paas, etc",2025-03-19,['Rekrute'],,Informatique,
